title,date,ICE Bed Capacity,Average ICE Population,Adult Male Population,Adult Female Population
"2025 Polk County Jail, Des Moines, IA - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Phelps County Jail, Holdrege, NE - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Tacoma ICE Processing Center (Northwest Detention Center), Tacoma, WA - Jan. 28-30, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Houston Contract Detention Facility, Houston, TX - Jan. 28-30, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Golden State Annex, McFarland, CA - Jan. 28-30, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Geauga County Jail, Chardon, OH - Jan. 28-30, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Folkston ICE Processing Center, Folkston, GA - Jan. 28-30, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Coastal Bend Detention Facility, Robstown, TX - Feb. 4, 2025","Mar 26
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0019 P00019: Calhoun County Jail IGSA – Battle Creek, MI","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-17-D-00009 P00042: Montgomery Processing Center – Conroe, TX","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"ODT-5-C-0010 P00071: Elizabeth Contract Detention Facility – Elizabeth, NJ","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-15-0006 P00034-P00037: Pine Prairie South Louisiana Correctional Center IGSA – Pine Prairie, LA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-14-0001 P00038-P00041: Otero County Processing Center IGSA – Chaparral, NM","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-12-0004 P00010-P00011: Strafford County Corrections IGSA – Dover, NH","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0021 P00015: Cabarrus County Jail IGSA – Concord, NC","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0004 P00014: Garvin County Detention Center IGSA – Pauls Valley, OK","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0040 P00015: Plymouth County Correctional Facility IGSA – Plymouth, MA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0029 P00053: Polk County Adult Detention Facility IGSA – Livingston, TX","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000010 P00014-P00016: Winn Correctional Center IGSA – Winnfield, LA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0017 P00021-P00022: Glades County – Moore Haven, FL","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0015 P00052-P00053: Alexandria Staging Facility IGSA – Jena, LA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0006 P00008: Gaston County IGSA – Gastonia, NC","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"ACD-99-6063 P00010: Lincoln County IGSA – Troy, MD","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"ACD-2-H-1005 P00008: Kandiyohi County IGSA – Willmar, MN","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000021 BASE-P00001: Prairieland Detention Center (Alvarado City) IGSA – Alvarado, TX","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000019 BASE: Garvin County Detention Center IGSA – Pauls Valley, OK","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000018 BASE-P00001: Karnes County Residential Center IGSA – Karnes City, TX","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR21DIG000012 P00014-P00016: Moshannon Valley Processing Center - Philipsburg, PA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000013 P00032-P00035: Joe Corley Detention (Montgomery County) IGSA – Conroe, TX","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000004 P00021: Florence SPC – Florence, AZ","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000009 P00035-P00040: Torrance County IGSA – Estancia, NM","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000008 P00019-P00021: San Luis Regional Detention Center IGSA – San Luis, AZ","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000006 P00014-P00015 Richwood Town IGSA – Richwood, LA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000005 P00015-P00016: Jackson Parish IGSA – Jonesboro, LA","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000002 P00004-P00005: Nye County Detention Center – Tonopah, NV","Mar 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Directive: 19010.3 Body Worn Camera - Feb. 19, 2025","Mar 20
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Port Isabel SPC – Jun. 11-13, 2024","Mar 19
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Adams County Detention Center, Natchez, MS - Jan. 14-16, 2025","Mar 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Clinton County Correctional Facility, McElhatten, PA - Jan. 14-16, 2025","Mar 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Imperial Regional Detention Facility, Calexico, CA - Jan. 14-16, 2025","Mar 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Winn Compliance Center, Winnfield, LA - Jan. 14-16, 2025","Mar 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Cental Louisiana ICE Processing Center, Jena, LA - Jan. 7-9, 2025","Mar 07
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0038 P00025: Baker County Sheriff's Department IGSA – MacClenny, FL","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-14-D-00002 P00036-P00037: Krome SPC – Miami, FL","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000012 P00010: El Paso SPC – El Paso, TX","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"ODT-5-C-0010 P00067-P00070: Elizabeth Contract Detention Facility – Elizabeth, NJ","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-15-D-00015 P00048: Northwest ICE Processing Center (NWIPC) - Tacoma, WA","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-15-D-00002 P00056-P00058: Buffalo Service Processing Center – Batavia, NY","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000007 P00021: Otay Mesa CDF - San Diego, CA","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0013 P00015: Chase County IGSA – Cottonwood Falls, KS","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000002 P00020-P00021: Port Isabel SPC (NEW) IGSA – Los Fresnos, TX","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000001 P00012-P000016: Denver CDF – Aurora, CO","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000014 P00021: Houston Contract Detention Facility (CDF) - Houston, TX","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000012 P00018-P00020: South Texas ICE Processing Center - Pearsall, TX","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000009 P00020-P00021: Adelanto Detention Facility – Adelanto, CA","Mar 06
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Rio Grande Detention Center, Laredo, TX - Jan. 7-9, 2025","Mar 04
2025",REDACTED,REDACTED,REDACTED,REDACTED
11005.4 Interim Guidance on Civil Immigration Enforcement Actions Involving Current or Potential Beneficiaries of Victim-Based Immigration Benefits,"Mar 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Directive: 19010.2 Body Worn Camera - Nov. 17, 2023","Feb 27
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Handbook: ICE Air Operations, ERO 11500.1 Edition 1.0 - Sep. 1, 2015","Feb 19
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Handbook: ICE Air Operations, ERO 11500.1 Edition 2.0 - Feb. 20, 2024","Feb 19
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: Suspension of the 287(g) Program Advisory Board - Jan. 30, 2025","Feb 18
2025",REDACTED,REDACTED,REDACTED,REDACTED
Directive: 5004.3 Stays of Removal and Private Immigration Bills,"Feb 18
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: Common Sense Enforcement Actions in or Near Protected Areas - Jan. 31, 2025","Feb 18
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Joe Corley Processing Center, Conroe, TX - Dec. 17-19, 2024","Feb 14
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Farmville Detention Center, Farmville, VA - Dec. 17-19, 2024","Feb 14
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Broward Transitional Center, Pompano Beach, FL - Dec. 17-19, 2024","Feb 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Prairieland Detention Facility, Alvarado, TX - Dec. 17-19, 2024","Feb 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 T. Don Hutto Residential Center, Taylor, TX - Dec. 17-19, 2024","Feb 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Alan Parish Public Safety Complex, Oberlin, LA - Dec. 10-12, 2024","Feb 07
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Jackson Parish Correctional Center, Jonesboro, LA - Dec. 10-12, 2024","Feb 07
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Orange County Jail (NY), Goshen, NY - Dec. 10-12, 2024","Feb 07
2025",REDACTED,REDACTED,REDACTED,REDACTED
"IAH Secure Adult Facility (Polk) – Jun. 11 - 13, 2024","Feb 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Bluebonnet Detention Facility, Anson, TX - Dec. 10-12, 2024","Jan 29
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Collier County Naples Jail Center, Naples, FL - Dec. 3-5, 2024","Jan 29
2025",REDACTED,9,REDACTED,REDACTED
"2025 CCA Florence Correctional Center, Florence, AZ - Dec. 10-12, 2024","Jan 29
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Houston Contract Detention Facility – Apr. 9-11, 2024","Jan 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Buffalo (Batavia) Service Processing Center – May 21–23, 2024","Jan 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Central Louisiana ICE Processing Center – Apr. 30 – May 2, 2024","Jan 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Directive: 11072.3 Civil Immigration Enforcement Actions Inside Courthouses (Jan. 21, 2025)","Jan 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Elizabeth Contract Detention Facility, Elizabeth, NJ - Dec. 3-5, 2024","Jan 21
2025",REDACTED,REDACTED,REDACTED,REDACTED
