name,field_office,street,city,state,zipcode,Latitude,Longitude
Rolling Plains Detention Center,Dallas Field Office,118 County Road 206,Haskell,TX,79521,33.1771862,-99.7217295
San Luis Regional Detention Center,San Diego Field Office,406 North Avenue D,San Luis,AZ,85349,32.4828449,-114.6835588
Seneca County Jail,Detroit Field Office,3040 South State Route 100,Tiffin,OH,44883,41.0793527,-83.1538747
Sherburne County Jail Services,St. Paul Field Office,13880 Business Center Drive NW,Elk River,MN,55330,45.304588,-93.61912060000002
South Louisiana ICE Processing Center,New Orleans Field Office,3843 Stagg Ave,Basile,LA,70515,30.4870681,-92.581813
South Texas ICE Processing Center,San Antonio Field Office,566 Veterans Drive,Pearsall,TX,78061,28.8951559,-99.1212316
St. Clair County Jail,Detroit Field Office,1170 Michigan Road,Port Huron,MI,48060,42.94231130000001,-82.47947909999999
Ste. Genevieve County Detention Center,Chicago Field Office,5 Basler Drive,Ste. Genevieve,MO,63670,37.9654933,-90.05544669999999
Stewart Detention Center,Atlanta Field Office,146 CCA Road,Lumpkin,GA,31815,32.0365622,-84.7713749
Strafford County Corrections,Boston Field Office,266 County Farm Road,Dover,NH,03820,43.21730489999999,-70.9405737
Sweetwater County Detention Center,Denver Field Office,50140 US Highway 191 South,Rock Springs,WY,82901,41.5386685,-109.302023
T. Don Hutto Detention Center,San Antonio Field Office,1001 Welch Street,Taylor,TX,76574,30.5661799,-97.42094589999999
Torrance County Detention Facility,El Paso Field Office,209 County Road A049,Estancia,NM,87016,34.7672813,-106.0185814
Washoe County Jail,Salt Lake City Field Office,911 E Parr Blvd,Reno,NV,89512,39.5743334,-119.8127465
Winn Correctional Center,New Orleans Field Office,560 Gum Springs Road,Winnfield,LA,71483,31.8389272,-92.79029009999999
Wyatt Detention Facility,Boston Field Office,950 High Street,Central Falls,RI,02863,41.8924645,-71.38395899999999
